Course,Category,Price,Rating,Duration,Marketing_Spend,Students_Enrolled,Revenue
SQL Basics,Database,1704,4.7,35,10314,472,804288
SQL Basics,Database,7043,4.7,54,5848,361,2542523
AWS Cloud,Cloud,1744,3.9,34,19559,635,1107440
Go Basics,Programming,3128,4.7,64,16746,679,2123912
Docker & Kubernetes,Cloud,3778,4.8,20,8231,412,1556536
Google Cloud,Cloud,3776,4.0,68,14029,519,1959744
JavaScript Essentials,Programming,2292,4.2,42,11667,496,1136832
JavaScript Essentials,Programming,5892,3.9,79,15403,536,3158112
Cyber Security,Cyber Security,6649,4.5,75,14850,608,4042592
Data Science,Data Science,1875,4.6,69,12482,577,1081875
Content Marketing,Digital Marketing,2327,4.3,49,14954,562,1307774
Angular,Web Development,3216,4.6,64,5339,405,1302480
Advanced SQL,Database,5875,4.7,30,18147,622,3654250
Flask,Web Development,3299,4.6,73,4832,385,1270115
SEO,Digital Marketing,4084,4.3,24,9913,412,1682608
Cyber Security,Cyber Security,3241,4.6,45,18035,655,2122855
React,Web Development,3520,4.7,54,11609,559,1967680
SOC Analyst,Cyber Security,6280,4.3,34,7532,319,2003320
AWS Cloud,Cloud,7691,3.9,27,8008,260,1999660
AI Fundamentals,Data Science,6385,3.9,44,18337,561,3581985
Flask,Web Development,1594,4.6,27,11743,522,832068
MongoDB,Database,2413,4.2,30,17867,574,1385062
MongoDB,Database,5600,4.7,52,6486,409,2290400
MongoDB,Database,6734,4.4,32,8008,325,2188550
Content Marketing,Digital Marketing,5918,4.9,79,3018,379,2242922
Django,Web Development,1659,3.9,43,13076,469,778071
Java Programming,Programming,6147,4.9,25,18924,680,4179960
Go Basics,Programming,7773,4.0,62,18574,625,4858125
Network Security,Cyber Security,3671,4.4,58,16865,626,2298046
Network Security,Cyber Security,7340,4.2,62,15236,539,3956260
SOC Analyst,Cyber Security,2491,4.1,24,14078,455,1133405
Pen Testing,Cyber Security,3385,4.5,20,5326,309,1045965
SQL Basics,Database,3375,3.9,22,13827,413,1393875
Network Security,Cyber Security,3781,4.6,33,7335,394,1489714
Pen Testing,Cyber Security,5372,4.1,50,16338,539,2895508
Python Programming,Programming,6898,4.3,47,16470,558,3849084
SEO,Digital Marketing,7016,4.6,61,6224,338,2371408
Google Cloud,Cloud,2395,4.1,32,17700,570,1365150
Azure Fundamentals,Cloud,3781,4.4,75,5470,389,1470809
Email Marketing,Digital Marketing,2302,3.9,54,3483,233,536366
Content Marketing,Digital Marketing,2862,4.3,50,10004,479,1370898
AWS Cloud,Cloud,2848,4.3,44,11690,513,1461024
Google Ads,Digital Marketing,3836,4.3,66,18947,676,2593136
Deep Learning,Data Science,3283,5.0,57,4997,438,1437954
HTML & CSS,Web Development,1910,4.5,52,8158,421,804110
Ethical Hacking,Cyber Security,3022,3.9,24,10707,364,1100008
Go Basics,Programming,3516,4.5,22,5686,302,1061832
Oracle DB,Database,6130,4.4,79,11544,504,3089520
MongoDB,Database,3455,4.1,28,12830,448,1547840
HTML & CSS,Web Development,1576,4.3,56,6276,363,572088
Network Security,Cyber Security,5644,4.1,79,14436,590,3329960
Java Programming,Programming,4527,4.1,48,12912,487,2204649
Email Marketing,Digital Marketing,1564,4.6,55,12810,615,961860
SQL Basics,Database,2600,4.1,76,6507,415,1079000
Network Security,Cyber Security,3731,4.1,33,14235,474,1768494
MongoDB,Database,5640,4.4,77,4664,327,1844280
PostgreSQL,Database,3766,3.9,41,7286,319,1201354
React,Web Development,7572,4.3,65,17014,605,4581060
Python Programming,Programming,2116,4.9,64,7884,514,1087624
C++ Programming,Programming,6271,4.5,47,7176,331,2075701
Angular,Web Development,1826,4.9,33,11176,546,996996
C++ Programming,Programming,7890,4.5,75,16316,632,4986480
Advanced SQL,Database,3439,4.8,71,8801,545,1874255
AWS Cloud,Cloud,2969,4.7,41,16491,666,1977354
Advanced SQL,Database,3685,4.0,64,6542,343,1263955
SEO,Digital Marketing,5355,4.1,72,18083,637,3411135
React,Web Development,3326,3.8,32,16056,494,1643044
HTML & CSS,Web Development,7835,4.1,61,19692,627,4912545
Oracle DB,Database,4212,4.9,27,11559,483,2034396
Cyber Security,Cyber Security,1813,3.9,47,14327,537,973581
Social Media Marketing,Digital Marketing,5074,4.5,52,6789,368,1867232
Network Security,Cyber Security,3586,3.9,47,3055,220,788920
Email Marketing,Digital Marketing,7126,4.7,67,9456,462,3292212
AWS Cloud,Cloud,6941,4.9,59,13286,587,4074367
SEO,Digital Marketing,7396,4.9,52,13134,563,4163948
Google Cloud,Cloud,4796,4.6,55,7170,387,1856052
DevOps,Cloud,7048,4.7,31,12861,478,3368944
Ethical Hacking,Cyber Security,3989,4.1,47,13559,498,1986522
DevOps,Cloud,7034,4.1,50,8560,354,2490036
C++ Programming,Programming,5722,4.6,59,13983,547,3129934
Content Marketing,Digital Marketing,7011,4.2,71,9525,399,2797389
Python Programming,Programming,3505,5.0,59,5386,431,1510655
Docker & Kubernetes,Cloud,3092,4.7,44,19199,712,2201504
Machine Learning,Data Science,6874,4.6,77,6492,425,2921450
Azure Fundamentals,Cloud,2940,4.8,64,19972,789,2319660
Go Basics,Programming,3541,4.9,27,17957,648,2294568
Google Ads,Digital Marketing,6968,4.4,55,13397,539,3755752
Google Ads,Digital Marketing,6518,4.8,77,19540,758,4940644
Email Marketing,Digital Marketing,5152,4.9,67,18554,743,3827936
React,Web Development,6723,4.1,69,18879,651,4376673
Deep Learning,Data Science,5103,3.9,38,10683,358,1826874
Angular,Web Development,5924,3.9,29,10577,334,1978616
Advanced SQL,Database,7286,4.1,46,16356,516,3759576
SOC Analyst,Cyber Security,4906,3.9,73,16767,589,2889634
Email Marketing,Digital Marketing,7197,3.8,76,15464,528,3800016
C++ Programming,Programming,3946,4.7,74,16730,708,2793768
Oracle DB,Database,6441,4.9,51,10190,475,3059475
DevOps,Cloud,1737,4.3,62,16248,664,1153368
AI Fundamentals,Data Science,2545,5.0,54,3883,425,1081625
Docker & Kubernetes,Cloud,6123,4.6,25,17044,553,3386019
Google Ads,Digital Marketing,2988,3.9,44,13726,468,1398384
Google Cloud,Cloud,4264,4.7,44,12117,543,2315352
Google Ads,Digital Marketing,3566,4.8,50,3635,363,1294458
Ethical Hacking,Cyber Security,4366,4.1,24,4319,235,1026010
Java Programming,Programming,3133,4.8,59,7993,463,1450579
AI Fundamentals,Data Science,6984,3.9,80,10142,417,2912328
MongoDB,Database,7782,4.2,58,6753,334,2599188
Content Marketing,Digital Marketing,4048,3.9,21,13222,419,1696112
PostgreSQL,Database,4749,4.9,32,5490,360,1709640
Advanced SQL,Database,2334,4.6,39,6966,418,975612
Ethical Hacking,Cyber Security,4344,4.4,62,15142,574,2493456
Cyber Security,Cyber Security,1603,4.8,72,19062,776,1243928
